sqft_living,sqft_above,sqft_living15
133,7636,5650
10157,2861,7242
7987,5238,10000
8311,5456,5000
1337,5833,8080
2970,379,101930
12401,4689,6819
8387,8872,9711
12430,4078,7470
9906,8047,6560
11409,5378,9796
2131,5902,6000
8095,8543,19901
6929,4599,9680
9232,5332,4850
2753,3998,5000
12096,326,14040
4912,5744,4300
4983,4752,9850
2972,8609,9850
4371,4169,9774
8014,1088,4980
387,6989,44867
7708,8205,6300
5532,5799,9643
1462,3359,6500
10131,8033,4697
7391,2524,2691
7043,2797,1581
11805,2229,6380
4575,2858,7173
9725,1793,3980
5249,2019,1265
443,7226,5000
8299,2968,3000
1194,9017,6659
1962,1580,3060
297,7040,34848
5057,2359,6000
1436,2179,8075
8906,1574,7553
9401,3268,5520
6850,4129,24186
11390,5995,5639
5935,2568,2280
2845,2448,9656
8511,2357,13603
8360,4321,8528
8167,8475,13416
2861,2017,5963
11569,1041,65005
3548,8140,9199
9839,1104,9134
3681,3558,4080
7833,6214,8550
5066,1399,6000
10856,6477,5000
2492,2918,4495
1113,1965,4750
10641,1403,14342
4545,1616,9976
10106,1284,21235
7370,8220,8400
12573,738,8690
7603,2598,1044
5682,4982,6000
8448,5113,3809
8774,3609,11049
9305,3694,4648
780,1103,12070
5724,6616,20158
6523,1836,50094
3601,5807,5612
10068,1596,7807
6127,2887,5000
4256,3012,50529
3112,3767,35102
9812,6068,7300
11432,581,5060